model,kv_budget,label,perplexity,memory_mb,degradation_%
opt,1.0,Baseline,32.645,10914.0,0.0
opt,0.75,KV 75%,32.646,10913.7,0.0
opt,0.5,KV 50%,33.121,10904.1,1.46
opt,0.25,KV 25%,37.428,10872.3,14.65
granite,1.0,Baseline,10.026,10950.1,0.0
granite,0.75,KV 75%,10.077,10945.9,0.51
granite,0.5,KV 50%,10.347,10930.9,3.2
granite,0.25,KV 25%,11.501,10881.8,14.71
qwen,1.0,Baseline,16.76,11127.6,0.0
qwen,0.75,KV 75%,16.857,11121.1,0.58
qwen,0.5,KV 50%,17.103,11100.1,2.05
qwen,0.25,KV 25%,18.862,11000.7,12.54
